-675200062.013675, -166974689.024079, 18258467.781763
-675269777.064211, -166954334.986851, 18258273.500224
-675339533.069608, -166934041.167590, 18258079.141123
-675409329.989312, -166913807.596226, 18257884.704680
-675479167.782749, -166893634.302684, 18257690.191117
-675549046.409322, -166873521.316884, 18257495.600659
-675618965.828411, -166853468.668741, 18257300.933529
-675688925.999376, -166833476.388168, 18257106.189957
-675758926.881552, -166813544.505070, 18256911.370170
-675828968.434253, -166793673.049349, 18256716.474399
-675899050.616768, -166773862.050903, 18256521.502879
-675969173.388367, -166754111.539624, 18256326.455843
-676039336.708292, -166734421.545403, 18256131.333527
-676109540.535765, -166714792.098122, 18255936.136172
-676179784.829985, -166695223.227661, 18255740.864015
-676250069.550125, -166675714.963897, 18255545.517301
-676320394.655336, -166656267.336699, 18255350.096272
-676390760.104745, -166636880.375935, 18255154.601175
-676461165.857455, -166617554.111467, 18254959.032256
-676531611.872546, -166598288.573154, 18254763.389765
-676602098.109071, -166579083.790849, 18254567.673954
-676672624.526062, -166559939.794403, 18254371.885075
-676743191.082524, -166540856.613661, 18254176.023382
-676813797.737438, -166521834.278465, 18253980.089133
-676884444.449761, -166502872.818652, 18253784.082586
-676955131.178424, -166483972.264057, 18253588.004000
-677025857.882334, -166465132.644507, 18253391.853638
-677096624.520372, -166446353.989830, 18253195.631762
-677167431.051393, -166427636.329847, 18252999.338639
-677238277.434227, -166408979.694375, 18252802.974535
-677309163.627680, -166390384.113229, 18252606.539720
-677380089.590528, -166371849.616217, 18252410.034463
-677451055.281524, -166353376.233148, 18252213.459037
-677522060.659395, -166334963.993823, 18252016.813717
-677593105.682839, -166316612.928040, 18251820.098777
-677664190.310531, -166298323.065596, 18251623.314495
-677735314.501115, -166280094.436281, 18251426.461151
-677806478.213212, -166261927.069883, 18251229.539026
-677877681.405413, -166243820.996187, 18251032.548401
-677948924.036284, -166225776.244974, 18250835.489561
-678020206.064362, -166207792.846021, 18250638.362792
-678091527.448156, -166189870.829100, 18250441.168383
-678162888.146148, -166172010.223984, 18250243.906621
-678234288.116792, -166154211.060439, 18250046.577798
-678305727.318514, -166136473.368229, 18249849.182206
-678377205.709710, -166118797.177114, 18249651.720141
-678448723.248749, -166101182.516851, 18249454.191897
-678520279.893971, -166083629.417194, 18249256.597772
-678591875.603685, -166066137.907893, 18249058.938066
-678663510.336174, -166048708.018697, 18248861.213079
-678735184.049689, -166031339.779350, 18248663.423114
-678806896.702453, -166014033.219593, 18248465.568474
-678878648.252657, -165996788.369163, 18248267.649466
-678950438.658463, -165979605.257797, 18248069.666396
-679022267.878004, -165962483.915227, 18247871.619573
-679094135.869380, -165945424.371182, 18247673.509307
-679166042.590663, -165928426.655387, 18247475.335911
-679237987.999891, -165911490.797567, 18247277.099697
-679309972.055073, -165894616.827443, 18247078.800981
-679381994.714185, -165877804.774731, 18246880.440079
-679454055.935172, -165861054.669147, 18246682.017310
-679526155.675948, -165844366.540402, 18246483.532992
-679598293.894393, -165827740.418207, 18246284.987446
-679670470.548356, -165811176.332267, 18246086.380996
-679742685.595651, -165794674.312287, 18245887.713966
-679814938.994062, -165778234.387967, 18245688.986679
-679887230.701339, -165761856.589007, 18245490.199465
-679959560.675196, -165745540.945101, 18245291.352650
-680031928.873316, -165729287.485943, 18245092.446565
-680104335.253348, -165713096.241224, 18244893.481540
-680176779.772904, -165696967.240631, 18244694.457909
-680249262.389564, -165680900.513850, 18244495.376005
-680321783.060872, -165664896.090563, 18244296.236164
-680394341.744338, -165648954.000450, 18244097.038722
-680466938.397435, -165633074.273189, 18243897.784018
-680539572.977601, -165617256.938454, 18243698.472390
-680612245.442237, -165601502.025917, 18243499.104180
-680684955.748710, -165585809.565249, 18243299.679730
-680757703.854348, -165570179.586116, 18243100.199382
-680830489.716442, -165554612.118183, 18242900.663482
-680903313.292248, -165539107.191111, 18242701.072374
-680976174.538983, -165523664.834558, 18242501.426407
-681049073.413826, -165508285.078183, 18242301.725929
-681122009.873916, -165492967.951638, 18242101.971288
-681194983.876358, -165477713.484573, 18241902.162836
-681267995.378214, -165462521.706638, 18241702.300924
-681341044.336508, -165447392.647477, 18241502.385906
-681414130.708225, -165432326.336734, 18241302.418134
-681487254.450310, -165417322.804047, 18241102.397966
-681560415.519666, -165402382.079053, 18240902.325756
-681633613.873158, -165387504.191387, 18240702.201862
-681706849.467609, -165372689.170678, 18240502.026643
-681780122.259800, -165357937.046555, 18240301.800458
-681853432.206470, -165343247.848642, 18240101.523667
-681926779.264318, -165328621.606560, 18239901.196632
-682000163.389998, -165314058.349927, 18239700.819714
-682073584.540123, -165299558.108358, 18239500.393278
-682147042.671263, -165285120.911465, 18239299.917686
-682220537.739943, -165270746.788854, 18239099.393305
-682294069.702644, -165256435.770129, 18238898.820500
-682367638.515805, -165242187.884892, 18238698.199638
-682441244.135817, -165228003.162738, 18238497.531085
-682514886.519029, -165213881.633260, 18238296.815211
-682588565.621742, -165199823.326046, 18238096.052385
-682662281.400213, -165185828.270682, 18237895.242975
-682736033.810650, -165171896.496745, 18237694.387352
-682809822.809217, -165158028.033813, 18237493.485888
-682883648.352030, -165144222.911457, 18237292.538953
-682957510.395157, -165130481.159241, 18237091.546921
-683031408.894618, -165116802.806728, 18236890.510163
-683105343.806385, -165103187.883474, 18236689.429053
-683179315.086380, -165089636.419030, 18236488.303964
-683253322.690478, -165076148.442942, 18236287.135272
-683327366.574503, -165062723.984749, 18236085.923350
-683401446.694227, -165049363.073986, 18235884.668573
-683475563.005376, -165036065.740181, 18235683.371317
