-675855277.183828, -166126518.013604, 18281882.034582
-675955515.699307, -166130560.584922, 18280362.025712
-676054881.812425, -166135760.618753, 18278812.516253
-676153336.133331, -166142084.076254, 18277235.314491
-676250840.541271, -166149495.516488, 18275632.264969
-676347358.233976, -166157958.143673, 18274005.246045
-676442853.775351, -166167433.856177, 18272356.167411
-676537293.142258, -166177883.297988, 18270686.967531
-676630643.765606, -166189265.907789, 18268999.611223
-676722874.576939, -166201539.977320, 18267296.086867
-676813956.048379, -166214662.704672, 18265578.403851
-676903860.230438, -166228590.249725, 18263848.589977
-676992560.789756, -166243277.792089, 18262108.688769
-677080033.044872, -166258679.589526, 18260360.756804
-677166253.999136, -166274749.036838, 18258606.861049
-677251202.370491, -166291438.725734, 18256849.076200
-677334858.618314, -166308700.506086, 18255089.482004
-677417204.967629, -166326485.548702, 18253330.160561
-677498225.430997, -166344744.409490, 18251573.193604
-677577905.828326, -166363427.094745, 18249820.659759
-677656233.804699, -166382483.127252, 18248074.631813
-677733198.846213, -166401861.612963, 18246337.173977
-677808792.293736, -166421511.308046, 18244610.339175
-677883007.354491, -166441380.686218, 18242896.166341
-677955839.111323, -166461418.006310, 18241196.677742
-678027284.529576, -166481571.380019, 18239513.876327
-678097342.461537, -166501788.839827, 18237849.743097
-678166013.648416, -166522018.407032, 18236206.234510
-678233300.719871, -166542208.159824, 18234585.279905
-678299208.191094, -166562306.301324, 18232988.778971
-678363742.457467, -166582261.227509, 18231418.599246
-678426911.786788, -166602021.594953, 18229876.573655
-678488726.309065, -166621536.388319, 18228364.498093
-678549198.003908, -166640754.987541, 18226884.129049
-678608340.685523, -166659627.234633, 18225437.181276
-678666169.985395, -166678103.500018, 18224025.325516
-678722703.332702, -166696134.748290, 18222650.186277
-678777959.932542, -166713672.603277, 18221313.339662
-678831960.741973, -166730669.412335, 18220016.311271
-678884728.443806, -166747078.309822, 18218760.574159
-678936287.418101, -166762853.279706, 18217547.546858
-678986663.711464, -166777949.217048, 18216378.591478
-679035885.005005, -166792321.987306, 18215255.011902
-679083980.580213, -166805928.485008, 18214178.052021
-679130981.278546, -166818726.689998, 18213148.894165
-679176919.464833, -166830675.725655, 18212168.657353
-679221828.984568, -166841735.912154, 18211238.395846
-679265745.119480, -166851868.818318, 18210359.097762
-679308704.541596, -166861037.313528, 18209531.683706
-679350745.265374, -166869205.618037, 18208757.005483
-679391906.597942, -166876339.351427, 18208035.844908
-679432229.087558, -166882405.579279, 18207368.912715
-679471754.470437, -166887372.858113, 18206756.847556
-679510525.616028, -166891211.278547, 18206200.215084
-679548586.470799, -166893892.506551, 18205699.507138
-679585982.000555, -166895389.822680, 18205255.141018
-679622758.131338, -166895678.159184, 18204867.458862
-679658961.688957, -166894734.134946, 18204536.727131
-679694640.337221, -166892536.088196, 18204263.136183
-679729842.514946, -166889064.106989, 18204046.799960
-679764617.371821, -166884300.057380, 18203887.755769
-679799014.703190, -166878227.609257, 18203785.964171
-679833084.883813, -166870832.259773, 18203741.308972
-679866878.800648, -166862101.354361, 18203753.597318
-679900447.784717, -166852024.105337, 18203822.559895
-679933843.542131, -166840591.608164, 18203947.851226
-679967118.084406, -166827796.855453, 18204129.050066
-680000323.658222, -166813634.748765, 18204365.659879
-680033512.674864, -166798102.108217, 18204657.109407
-680066737.639574, -166781197.679749, 18205002.753326
-680100051.081037, -166762922.139811, 18205401.872990
-680133505.481153, -166743278.097063, 18205853.677294
-680167153.205098, -166722270.090767, 18206357.303655
-680201046.431518, -166699904.585647, 18206911.819131
-680235237.082511, -166676189.963412, 18207516.221668
-680269776.753078, -166651136.511548, 18208169.441468
-680304716.639975, -166624756.410194, 18208870.342422
-680340107.470901, -166597063.717169, 18209617.723621
-680375999.436954, -166568074.348313, 18210410.320990
-680412442.125032, -166537806.054778, 18211246.809051
-680449484.443531, -166506278.406534, 18212125.802515
-680487174.559857, -166473512.762556, 18213045.858239
-680525559.832910, -166439532.244256, 18214005.477126
-680564686.747875, -166404361.705319, 18215003.106123
-680604600.852173, -166368027.699069, 18216037.140301
-680645346.692669, -166330558.443437, 18217105.925010
-680686967.754195, -166291983.783529, 18218207.758105
-680729506.399507, -166252335.151894, 18219340.892241
-680773003.810738, -166211645.526496, 18220503.537236
-680817499.932443, -166169949.386489, 18221693.862495
-680863033.416328, -166127282.665830, 18222909.999494
-680909641.567730, -166083682.704811, 18224150.044321
-680957360.293944, -166039188.199576, 18225412.060264
-681006224.054468, -165993839.149682, 18226694.080454
-681056265.813245, -165947676.803806, 18227994.110549
-681107516.992968, -165900743.603650, 18229310.131458
-681160007.431530, -165853083.126136, 18230640.102100
-681213765.340674, -165804740.023980, 18231981.962201
-681268817.266907, -165755759.964723, 18233333.635113
-681325188.054753, -165706189.568307, 18234693.030664
-681382900.812372, -165656076.343304, 18236058.048018
-681441976.879629, -165605468.621862, 18237426.578561
-681502435.798633, -165554415.493499, 18238796.508792
-681564295.286814, -165502966.737813, 18240165.723225
-681627571.212559, -165451172.756225, 18241532.107291
-681692277.573458, -165399084.502847, 18242893.550239
-681758426.477183, -165346753.414588, 18244247.948032
-681826028.125030, -165294231.340591, 18245593.206236
-681895090.798152, -165241570.471105, 18246927.242885
-681965620.846499, -165188823.265915, 18248247.991341
-682037622.680480, -165136042.382414, 18249553.403117
-682111098.765362, -165083280.603442, 18250841.450688
-682186049.618415, -165030590.764982, 18252110.130254
-682262473.808795, -164978025.683837, 18253357.464482
-682340367.960181, -164925638.085382, 18254581.505202
-682419726.753109, -164873480.531831, 18255780.336099
